,term,mean_weight_negative,mean_weight_positive,difference
1,looked,0.034990025545927145,0.008292288346636773,0.02669773719929037
2,disappointed,0.027487081848106054,0.0030153599671417716,0.024471721880964283
3,like,0.06153950191549788,0.03928868522055659,0.02225081669494129
4,wanted,0.028680485536059973,0.007324781298208966,0.021355704237851006
5,fabric,0.05227535129547607,0.031096923028589286,0.021178428266886786
6,way,0.03412530583632547,0.013532517608460064,0.020592788227865404
7,returned,0.023786419887192843,0.0034736631453492054,0.020312756741843636
8,return,0.025490617562328465,0.006294214232823843,0.019196403329504622
9,unfortunately,0.02329200179396834,0.004209863784335018,0.01908213800963332
10,returning,0.02122688867417664,0.0029589221203631852,0.018267966553813457
